prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.28373289108276367,18.273565769195557,1745795353.808177,1745795372.3654766
543,332,0.3051116466522217,21.71246647834778,1745795354.8082986,1745795376.8258774
550,286,0.2309277057647705,18.938581466674805,1745795355.808134,1745795374.9776442
499,270,0.2817568778991699,17.88702392578125,1745795356.8087068,1745795374.9774892
1341,240,0.22860312461853027,16.02031970024109,1745795357.8078477,1745795374.056772
765,125,0.19223785400390625,8.582540273666382,1745795358.8080792,1745795367.5828593
981,181,0.26723504066467285,12.229801893234253,1745795359.8088145,1745795372.3058524
968,244,0.39038968086242676,16.23363947868347,1745795360.8088071,1745795377.4328377
673,51,0.397674560546875,3.359276294708252,1745795361.8086169,1745795365.5655708
311,475,0.2023756504058838,32.56842875480652,1745795362.8086889,1745795395.5794947
1209,77,0.39823150634765625,4.970325708389282,1745795363.8082638,1745795369.1768222
341,142,0.2137465476989746,9.141462802886963,1745795364.8081944,1745795374.1634042
517,250,0.18416881561279297,16.574371576309204,1745795365.8083658,1745795382.5669074
477,262,0.28484249114990234,17.501111268997192,1745795366.80813,1745795384.5940855
1056,162,0.21585798263549805,10.44735836982727,1745795367.8081512,1745795378.471369
222,310,0.1464071273803711,21.220453023910522,1745795368.8080688,1745795390.1749299
708,108,0.188460111618042,6.776434421539307,1745795369.808736,1745795376.7736316
763,137,0.29061198234558105,9.118475198745728,1745795370.808254,1745795380.2173421
818,460,0.22661948204040527,32.24066925048828,1745795371.8087676,1745795404.2760572
875,247,0.23097515106201172,17.07063579559326,1745795372.8084333,1745795390.1100445
348,42,0.13115787506103516,2.510528326034546,1745795373.808112,1745795376.449799
190,130,0.16869139671325684,8.741965055465698,1745795374.8084314,1745795383.7190888
1071,297,0.20354127883911133,21.156434059143066,1745795375.8084662,1745795397.1684427
1184,327,0.4049835205078125,23.145467519760132,1745795376.8086603,1745795400.359113
377,30,0.2272169589996338,1.7914049625396729,1745795377.8085256,1745795379.827149
924,222,0.2656557559967041,15.612860441207886,1745795378.8083236,1745795394.6868403
826,173,0.3507075309753418,12.210827589035034,1745795379.8080235,1745795392.3695602
696,158,0.28092432022094727,11.170215368270874,1745795380.8086343,1745795392.2597747
717,276,0.2704639434814453,19.661597967147827,1745795381.8088546,1745795401.7409172
507,246,0.15447354316711426,17.517478227615356,1745795382.807931,1745795400.4798844
816,321,0.456174373626709,22.781561613082886,1745795383.8085234,1745795407.0462608
351,134,0.2202615737915039,9.43863844871521,1745795384.8083353,1745795394.4672365
340,84,0.2008190155029297,6.072289228439331,1745795385.8082445,1745795392.081354
593,231,0.24108171463012695,16.608137130737305,1745795386.808363,1745795403.6575835
982,186,0.2990128993988037,13.51915693283081,1745795387.8092675,1745795401.627438
1214,416,0.40665769577026367,29.61635184288025,1745795388.8111668,1745795418.8341775
899,434,0.3014960289001465,31.13133215904236,1745795389.8082225,1745795421.2410517
450,272,0.25379204750061035,19.170664310455322,1745795390.8086877,1745795410.233145
535,250,0.2075181007385254,17.532191276550293,1745795391.8081803,1745795409.5478904
898,250,0.27689623832702637,17.47011137008667,1745795392.8093262,1745795410.5563347
633,120,0.2296438217163086,8.62905216217041,1745795393.8085558,1745795402.667253
686,101,0.2734527587890625,7.315802574157715,1745795394.8084478,1745795402.3977041
1000,146,0.38405752182006836,10.144166707992554,1745795395.808998,1745795406.3372228
487,9,0.1716625690460205,0.46389198303222656,1745795396.8085022,1745795397.4440577
782,253,0.23879432678222656,17.625736474990845,1745795397.8079743,1745795415.6725059
558,45,0.2219552993774414,3.423088788986206,1745795398.8091671,1745795402.454212
488,133,0.3100857734680176,9.26526403427124,1745795399.8087752,1745795409.3841262
926,433,0.39165616035461426,31.979312419891357,1745795400.8092241,1745795433.1801934
780,350,0.31329965591430664,25.510485887527466,1745795401.8081157,1745795427.6319017
920,298,0.1443648338317871,21.563465356826782,1745795402.8085942,1745795424.5164254
614,281,0.24657440185546875,20.459622859954834,1745795403.808789,1745795424.5149872
1204,112,0.3033905029296875,7.524940490722656,1745795404.8097208,1745795412.6380527
889,195,0.2521812915802002,14.036367893218994,1745795405.8080797,1745795420.09663
578,272,0.2383561134338379,20.343677520751953,1745795406.8083575,1745795427.390392
738,327,0.29625654220581055,24.547574758529663,1745795407.8088393,1745795432.6526716
997,289,0.2984790802001953,21.579378604888916,1745795408.8105042,1745795430.688363
879,381,0.2550926208496094,28.317458868026733,1745795409.8084185,1745795438.3809712
844,326,0.2512092590332031,24.445290327072144,1745795410.8078964,1745795435.5043976
775,193,0.3402702808380127,14.57018256187439,1745795411.8081715,1745795426.7186253
1596,223,0.23715782165527344,17.08894634246826,1745795412.8080788,1745795430.1341836
895,261,0.25013113021850586,20.095248460769653,1745795413.80965,1745795434.1550303
1172,302,0.31052422523498535,22.68418550491333,1745795414.8089151,1745795437.8036258
1218,162,0.2774505615234375,12.602489233016968,1745795415.808932,1745795428.6888733
739,386,0.20213675498962402,28.510740756988525,1745795416.8081448,1745795445.5210233
810,318,0.3440513610839844,23.38794755935669,1745795417.808109,1745795441.5401092
1556,51,0.37322044372558594,3.651089906692505,1745795418.8085885,1745795422.8329
602,150,0.22219204902648926,11.464046001434326,1745795419.8089583,1745795431.4951978
778,301,0.24787139892578125,21.7556631565094,1745795420.8087847,1745795442.8123202
742,254,0.28467679023742676,18.557552337646484,1745795421.808865,1745795440.6510954
1443,189,0.3242228031158447,14.068689107894897,1745795422.8083553,1745795437.201268
541,294,0.33440518379211426,21.21463632583618,1745795423.8080606,1745795445.3571029
857,131,0.24677658081054688,9.698474645614624,1745795424.8108816,1745795434.7561336
1024,175,0.296001672744751,12.597988367080688,1745795425.808882,1745795438.7028742
1404,366,0.3327333927154541,26.010308265686035,1745795426.8081553,1745795453.1511977
1152,67,0.26419925689697266,4.990595102310181,1745795427.8089828,1745795433.0637789
407,47,0.17627573013305664,3.484740972518921,1745795428.8103762,1745795432.4713938
327,10,0.20401573181152344,0.5540518760681152,1745795429.8080604,1745795430.5661292
1402,177,0.2554931640625,12.200175762176514,1745795430.8092613,1745795443.2649317
1624,266,0.3528902530670166,18.429738998413086,1745795431.808742,1745795450.591372
516,5,0.18991613388061523,0.24651050567626953,1745795432.8088512,1745795433.2452788
1150,276,0.23165655136108398,19.224870204925537,1745795433.8089306,1745795453.265458
1016,246,0.19843316078186035,17.194797039031982,1745795434.809635,1745795452.2028663
871,323,0.20513319969177246,22.496241092681885,1745795435.8088253,1745795458.5102003
1003,238,0.27544307708740234,16.564167976379395,1745795436.8087916,1745795453.6484034
760,206,0.2939283847808838,14.349324226379395,1745795437.8081143,1745795452.4513683
1159,508,0.29093098640441895,36.22439193725586,1745795438.8085856,1745795475.32391
505,107,0.18928003311157227,7.372906446456909,1745795439.8080955,1745795447.3702836
440,185,0.18422365188598633,13.029930830001831,1745795440.808181,1745795454.0223362
835,271,0.2334287166595459,19.15455460548401,1745795441.8083472,1745795461.1963322
1182,284,0.29021120071411133,20.118762731552124,1745795442.8109188,1745795463.2198937
1641,305,0.36786890029907227,21.521872758865356,1745795443.8082652,1745795465.698008
1344,346,0.3229551315307617,24.397614240646362,1745795444.8082485,1745795469.5288188
760,318,0.2790567874908447,22.311355590820312,1745795445.8086529,1745795468.3990664
839,275,0.22725653648376465,19.39834427833557,1745795446.8089585,1745795466.4345598
1152,232,0.24809551239013672,16.34238862991333,1745795447.8089533,1745795464.3994381
831,129,0.2511134147644043,9.057303190231323,1745795448.8088505,1745795458.1172671
858,8,0.23018598556518555,0.43239402770996094,1745795449.8079286,1745795450.4705095
