prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.18939423561096191,13.469326972961426,1745990404.4588459,1745990418.1175706
543,332,0.19295740127563477,16.671717405319214,1745990414.4590209,1745990431.3236978
550,286,0.11872982978820801,14.2920560836792,1745990424.459457,1745990438.870244
499,270,0.18560528755187988,13.71638035774231,1745990434.4589522,1745990448.3609393
1341,240,0.5163552761077881,11.785977125167847,1745990444.459116,1745990456.7614496
765,125,0.1380610466003418,6.363362789154053,1745990454.4586015,1745990460.9600267
981,181,0.383441686630249,9.092674016952515,1745990464.4589112,1745990473.9350276
968,244,0.0888969898223877,12.251848459243774,1745990474.4586952,1745990486.7994418
673,51,0.2523980140686035,2.5232105255126953,1745990484.4586139,1745990487.2342234
311,475,0.13365507125854492,24.243115186691284,1745990494.458844,1745990518.8356154
1209,77,0.2529304027557373,3.897706985473633,1745990504.4590044,1745990508.6096427
341,142,0.1539158821105957,7.087971925735474,1745990514.4589484,1745990521.7008383
517,250,0.08722829818725586,12.774911165237427,1745990524.459857,1745990537.321998
477,262,0.07503056526184082,13.157909870147705,1745990534.4591942,1745990547.6921356
1056,162,0.1812152862548828,8.078619241714478,1745990544.4591444,1745990552.7189806
222,310,0.08578348159790039,15.797952651977539,1745990554.4591985,1745990570.3429358
708,108,0.30579447746276855,5.272353649139404,1745990564.4594436,1745990570.037593
763,137,0.09866499900817871,6.774340867996216,1745990574.4588506,1745990581.3318577
818,460,0.36942005157470703,23.36714243888855,1745990584.4593987,1745990608.1959624
875,247,0.1958014965057373,12.547478437423706,1745990594.4597166,1745990607.2029977
348,40,0.16154170036315918,1.9774200916290283,1745990604.4586005,1745990606.5975637
190,130,0.13087987899780273,6.38349723815918,1745990614.4591324,1745990620.973511
1071,297,0.11429905891418457,15.086391925811768,1745990624.4591165,1745990639.6598084
1184,327,0.0944223403930664,16.140151023864746,1745990634.4594393,1745990650.6940138
377,30,0.11374592781066895,1.4690303802490234,1745990644.4593687,1745990646.0421464
924,222,0.07387876510620117,11.114721298217773,1745990654.4596171,1745990665.6482182
826,173,0.1253666877746582,8.741714477539062,1745990664.4590716,1745990673.3261535
696,158,0.31627678871154785,7.881664514541626,1745990674.4589245,1745990682.6568673
717,276,0.12226700782775879,13.591032028198242,1745990684.4592712,1745990698.1725717
507,246,0.15836572647094727,12.82889461517334,1745990694.459362,1745990707.446624
816,321,0.3597109317779541,15.788378953933716,1745990704.4593642,1745990720.6074567
351,134,0.16721510887145996,6.862231492996216,1745990714.459263,1745990721.4887106
340,84,0.12970256805419922,4.263668775558472,1745990724.4585552,1745990728.8519275
593,231,0.2704339027404785,11.978243350982666,1745990734.4589603,1745990746.7076383
982,186,0.08422470092773438,9.354649782180786,1745990744.4591444,1745990753.8980203
1214,416,0.46106576919555664,21.233938455581665,1745990754.4594722,1745990776.1544774
899,434,0.3690354824066162,21.744960069656372,1745990764.4591813,1745990786.5731778
450,272,0.2102053165435791,14.161524057388306,1745990774.4586716,1745990788.8304024
535,250,0.09366393089294434,12.786295413970947,1745990784.4586043,1745990797.338564
898,250,0.07771158218383789,12.2664794921875,1745990794.4587843,1745990806.8029768
