prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.3505833148956299,31.225595712661743,1745998031.197586,1745998062.7737665
543,332,0.2624034881591797,34.44329500198364,1745998031.6977649,1745998066.403465
550,286,0.26004457473754883,28.876371145248413,1745998032.1969607,1745998061.3333778
499,270,0.22321772575378418,27.16644310951233,1745998032.6976304,1745998060.087292
1341,240,0.5376944541931152,26.386781692504883,1745998033.197413,1745998060.1218898
765,125,0.3452107906341553,11.5671968460083,1745998033.6979337,1745998045.6103427
981,181,0.36580657958984375,20.677040100097656,1745998034.1977797,1745998055.240628
968,244,0.4760110378265381,24.91401958465576,1745998034.6970403,1745998060.0870724
673,51,0.30834245681762695,4.139974594116211,1745998035.1978672,1745998039.646187
311,475,0.15929722785949707,52.85000705718994,1745998035.6976316,1745998088.706937
1209,77,0.5120530128479004,10.319409370422363,1745998036.1984985,1745998047.0299625
341,147,0.23642444610595703,16.861857175827026,1745998036.697621,1745998053.7959042
517,250,0.24224615097045898,29.136190176010132,1745998037.1973538,1745998066.5757916
477,262,0.23902058601379395,30.283196926116943,1745998037.6980326,1745998068.2202516
1056,162,0.41596031188964844,16.810383558273315,1745998038.197595,1745998055.4239395
222,310,0.4332263469696045,36.629188776016235,1745998038.6976936,1745998075.7601101
708,108,0.37895822525024414,11.08291220664978,1745998039.200641,1745998050.6625128
763,137,0.35529446601867676,14.438229322433472,1745998039.6973784,1745998054.490904
818,460,0.3715646266937256,50.73865628242493,1745998040.1976373,1745998091.3078592
875,247,0.39598894119262695,29.662156105041504,1745998040.6975942,1745998070.7557402
348,42,0.2070295810699463,3.8554327487945557,1745998041.1974475,1745998045.2599115
190,130,0.18844318389892578,13.793091535568237,1745998041.6973472,1745998055.6788828
1071,297,0.48082876205444336,34.860015630722046,1745998042.1976724,1745998077.5385177
1184,327,0.7793822288513184,37.48333811759949,1745998042.6972244,1745998080.9599462
377,30,0.7547669410705566,4.389660120010376,1745998043.1974354,1745998048.3418636
924,222,0.5114810466766357,25.00074005126953,1745998043.6974277,1745998069.2096498
826,173,0.3991074562072754,18.05898690223694,1745998044.1978073,1745998062.6559026
696,158,0.3666365146636963,17.381535530090332,1745998044.6977978,1745998062.4459715
717,276,0.34384846687316895,30.233750581741333,1745998045.1977556,1745998075.775356
507,246,0.23862290382385254,27.555110692977905,1745998045.6977983,1745998073.4915333
816,321,0.37433815002441406,34.451334714889526,1745998046.1976564,1745998081.0233302
351,134,0.1925489902496338,12.405098676681519,1745998046.697551,1745998059.2951996
340,84,0.5908665657043457,7.962179899215698,1745998047.1973438,1745998055.7503917
593,231,0.25570106506347656,25.206897497177124,1745998047.69814,1745998073.1607406
982,186,0.48841285705566406,19.40541911125183,1745998048.1973357,1745998068.091169
1214,416,0.6197762489318848,42.027098655700684,1745998048.6979632,1745998091.3448396
899,434,1.8197510242462158,45.59969520568848,1745998049.1978836,1745998096.6173317
450,272,1.3211052417755127,29.489197492599487,1745998049.6971822,1745998080.507486
535,246,0.3333394527435303,26.638301610946655,1745998050.1978977,1745998077.16954
898,250,0.35948991775512695,27.211907386779785,1745998050.6976397,1745998078.26904
633,120,4.968879222869873,14.073338508605957,1745998051.1973486,1745998070.2395673
686,101,0.34496331214904785,11.855689525604248,1745998051.697276,1745998063.8979304
1000,146,5.345285892486572,17.534262895584106,1745998052.197661,1745998075.077211
487,9,7.990657329559326,1.4381515979766846,1745998052.7027845,1745998062.131596
782,253,7.495950698852539,27.472368717193604,1745998053.1980927,1745998088.1664133
558,39,6.994953870773315,5.299317121505737,1745998053.6977544,1745998065.9920266
488,72,6.856445789337158,9.054552555084229,1745998054.1976213,1745998070.108621
926,433,0.41073155403137207,47.395976066589355,1745998054.6976542,1745998102.5043633
780,350,6.597343683242798,38.00055909156799,1745998055.197755,1745998099.79566
920,298,6.098796367645264,31.84732937812805,1745998055.6970747,1745998093.6432018
614,281,6.80451774597168,29.6001935005188,1745998056.197898,1745998092.6026106
1204,112,1.2811839580535889,11.095344305038452,1745998056.6969569,1745998069.0734863
889,195,0.778846025466919,19.84987783432007,1745998057.1970892,1745998077.8258142
