prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
21073.0,100.0,0.08683586120605469,1.3733625411987305,3,1,1746055138.5310984,1746055139.9912972
21073.0,100.0,0.08906722068786621,1.362572193145752,4,1,1746055178.5458796,1746055179.9975204
21073.0,100.0,0.09153127670288086,1.3557066917419434,6,1,1746055108.5298529,1746055109.9770916
21073.0,100.0,0.08556604385375977,1.3624935150146484,7,1,1746055148.5484643,1746055149.9965246
21073.0,100.0,0.08404326438903809,1.3616909980773926,8,1,1746055188.56956,1746055190.0152948
21073.0,100.0,0.08408808708190918,1.3594255447387695,10,1,1746055118.5461626,1746055119.9896767
21073.0,100.0,0.08514738082885742,1.3697965145111084,11,1,1746055158.5717788,1746055160.0267234
21073.0,100.0,0.08385086059570312,1.3595161437988281,14,1,1746055128.6138382,1746055130.0572057
21073.0,100.0,0.08225011825561523,1.3567497730255127,15,1,1746055168.5255659,1746055169.9645665
21073.0,100.0,0.06723666191101074,1.3554811477661133,17,1,1746055098.5068867,1746055099.9296057
